Matches,Inns,Not Out,Runs
51,51,3,2179
18,17,1,619
14,13,3,572
10,9,0,298
10,10,1,412
9,9,1,535
8,8,1,291
7,7,1,146
6,6,0,72
5,5,2,145
5,5,0,101
5,5,0,114
4,4,0,95
4,4,0,69
4,4,0,15
4,4,0,82
4,4,1,264
4,4,0,126
3,3,0,140
3,3,1,70
3,3,0,161
3,3,1,128
3,3,1,206
3,3,0,118
3,3,0,31
3,3,0,96
2,2,0,60
2,2,0,126
2,2,0,53
2,2,0,4
2,2,1,72
2,2,0,29
2,2,0,61
2,2,0,110
2,2,0,40
2,2,0,78
2,2,0,42
2,2,0,49
2,2,0,46
1,1,0,67
1,1,0,16
1,1,0,17
1,1,0,14
1,1,0,194
1,1,0,27
1,1,0,36
1,1,0,26
1,1,0,6
1,1,0,59
1,1,0,30
1,1,0,95
1,1,0,72
1,1,0,2
1,1,0,6
1,1,0,28
1,1,0,9
1,1,0,103
1,1,0,10
1,1,0,20
1,1,0,0
1,1,0,57
1,1,0,35
1,1,0,0
1,1,1,40
